subject,trial,condition,init_side,heog_step_uv,shift_toward_attended_uv
01,0,MovingVideo,left,-2.5123148475359964,2.5123148475359964
01,1,NoVisuals,right,5.443824617894315,5.443824617894315
01,2,FixedVideo,left,-6.029121570822575,6.029121570822575
01,3,MovingVideo,right,0.41169186680364644,0.41169186680364644
01,4,NoVisuals,left,10.658340667855846,-10.658340667855846
01,5,FixedVideo,right,7.842719816047788,7.842719816047788
03,0,MovingVideo,left,0.3948037577229292,-0.3948037577229292
03,1,NoVisuals,right,0.6712800981646263,0.6712800981646263
03,2,FixedVideo,left,-0.0568065174004217,0.0568065174004217
03,3,MovingVideo,right,-0.9329145506193333,-0.9329145506193333
03,4,NoVisuals,left,1.1815744757933997,-1.1815744757933997
03,5,FixedVideo,right,1.3043918142293214,1.3043918142293214
04,0,MovingVideo,left,-1.6492052046798686,1.6492052046798686
04,1,MovingTargetNoise,left,-1.2690029201546202,1.2690029201546202
04,2,NoVisuals,right,-2.1345387574557093,-2.1345387574557093
04,3,FixedVideo,left,-10.718225025192826,10.718225025192826
04,4,MovingVideo,right,-1.0673995632367452,-1.0673995632367452
04,5,MovingTargetNoise,right,-0.1356734719617802,-0.1356734719617802
04,6,NoVisuals,left,-2.3300392870584705,2.3300392870584705
04,7,FixedVideo,right,14.59893593684017,14.59893593684017
07,0,MovingVideo,left,0.7071538606245473,-0.7071538606245473
07,1,MovingTargetNoise,left,-0.8750089770140583,0.8750089770140583
07,2,MovingTargetNoise,right,0.5116824226676276,0.5116824226676276
07,3,NoVisuals,right,-0.057814510053477416,-0.057814510053477416
07,4,FixedVideo,left,-6.166905839361594,6.166905839361594
07,5,MovingVideo,right,-0.8359476220998879,-0.8359476220998879
07,6,NoVisuals,left,0.37574128275806395,-0.37574128275806395
07,7,FixedVideo,right,3.1482383194989843,3.1482383194989843
08,0,MovingVideo,left,-1.7589288212920224,1.7589288212920224
08,1,MovingTargetNoise,left,0.9319527628860176,-0.9319527628860176
08,2,NoVisuals,right,-0.41894798876180256,-0.41894798876180256
08,3,FixedVideo,left,0.394063695023363,-0.394063695023363
08,4,MovingVideo,right,5.994664385098977,5.994664385098977
08,5,MovingTargetNoise,right,0.1972490001100896,0.1972490001100896
08,6,NoVisuals,left,-0.32713488232406834,0.32713488232406834
08,7,FixedVideo,right,3.385521563474505,3.385521563474505
09,0,MovingVideo,left,3.3184603097476604,-3.3184603097476604
09,1,MovingTargetNoise,left,14.761045521995417,-14.761045521995417
09,2,NoVisuals,right,19.296396568018007,19.296396568018007
09,3,FixedVideo,left,-2.6549105006431875,2.6549105006431875
09,4,MovingTargetNoise,right,1.5331659961090727,1.5331659961090727
09,5,MovingVideo,right,-7.328891599550702,-7.328891599550702
09,6,NoVisuals,left,10.811319353094536,-10.811319353094536
09,7,FixedVideo,right,13.449171159427987,13.449171159427987
10,0,MovingVideo,left,-3.0070092706527363,3.0070092706527363
10,1,MovingTargetNoise,left,0.17156636735901362,-0.17156636735901362
10,2,NoVisuals,right,0.4322545964652853,0.4322545964652853
10,3,MovingTargetNoise,right,5.508986016708026,5.508986016708026
10,4,FixedVideo,left,-9.911795410176673,9.911795410176673
10,5,MovingVideo,right,-0.5798232454256419,-0.5798232454256419
10,6,NoVisuals,left,0.1577154647439404,-0.1577154647439404
10,7,FixedVideo,right,7.117621557523148,7.117621557523148
11,0,MovingVideo,left,-10.248581380413526,10.248581380413526
11,1,MovingTargetNoise,left,1.9160821795825522,-1.9160821795825522
11,2,MovingTargetNoise,right,-1.390954445296602,-1.390954445296602
11,3,NoVisuals,right,-2.037044867715805,-2.037044867715805
11,4,FixedVideo,left,-5.389191916146779,5.389191916146779
11,5,MovingVideo,right,2.2833883592247024,2.2833883592247024
11,6,NoVisuals,left,0.8584336735627836,-0.8584336735627836
11,7,FixedVideo,right,4.974183924434575,4.974183924434575
12,0,MovingVideo,left,-1.216506824476966,1.216506824476966
12,1,MovingTargetNoise,left,5.669183444965278,-5.669183444965278
12,2,MovingTargetNoise,right,1.0795254501221747,1.0795254501221747
12,3,NoVisuals,right,17.1520746819671,17.1520746819671
12,4,FixedVideo,left,-0.5623385790678688,0.5623385790678688
12,5,MovingVideo,right,-2.3057566800040874,-2.3057566800040874
12,6,NoVisuals,left,-1.0158086070054533,1.0158086070054533
12,7,FixedVideo,right,1.0137021204448775,1.0137021204448775
