model,condition,n,mean_acc,sd,min,max,mean_auc,p_vs_chance,p_vs_eog,p_holm
EOG only (gaze baseline),FixedVideo,9,0.5756704980842913,0.1952437659806675,0.2327586206896551,0.8448275862068966,0.6233320121548421,0.19140625,,1.0
EOG only (gaze baseline),NoVisuals,9,0.48084291187739464,0.1403861363326478,0.2586206896551724,0.7672413793103449,0.4673668912670102,0.65625,,1.0
EOG only (gaze baseline),MovingVideo,9,0.43295019157088116,0.08987640329329549,0.293103448275862,0.5775862068965517,0.4332144272691241,0.98046875,,1.0
EOG only (gaze baseline),MovingTargetNoise,7,0.5086206896551724,0.1287343493367938,0.3103448275862069,0.6379310344827587,0.5349074231357228,0.46875,,1.0
EEG CSP+LDA,FixedVideo,9,0.4339080459770115,0.15342648043584214,0.1896551724137931,0.6982758620689655,0.456995640110979,0.9375,0.203125,1.0
EEG CSP+LDA,NoVisuals,9,0.47126436781609193,0.16749447610108145,0.1896551724137931,0.6896551724137931,0.4680274805126172,0.673828125,0.91015625,1.0
EEG CSP+LDA,MovingVideo,9,0.4741379310344827,0.06663631393853581,0.3620689655172414,0.5948275862068966,0.4012419077817413,0.8671875,0.09765625,1.0
EEG CSP+LDA,MovingTargetNoise,7,0.4852216748768473,0.1009902277584925,0.3620689655172414,0.6293103448275862,0.47638865296415833,0.609375,0.9375,1.0
EEG Riemann,FixedVideo,9,0.4655172413793104,0.12252302072027497,0.2241379310344827,0.646551724137931,0.468754128682785,0.76953125,0.1640625,1.0
EEG Riemann,NoVisuals,9,0.48084291187739464,0.1541379417487375,0.25,0.6551724137931034,0.4674329501915709,0.578125,0.890625,1.0
EEG Riemann,MovingVideo,9,0.47605363984674326,0.13318740776042853,0.2068965517241379,0.6810344827586207,0.468754128682785,0.71484375,0.65234375,1.0
EEG Riemann,MovingTargetNoise,7,0.4692118226600984,0.08023220222398507,0.3706896551724138,0.5775862068965517,0.42814676405639546,0.8515625,0.375,1.0
"EEG Riemann, EOG regressed",FixedVideo,9,0.43678160919540227,0.11330551231116306,0.25,0.6551724137931034,0.4205311137534681,0.91796875,0.1640625,1.0
"EEG Riemann, EOG regressed",NoVisuals,9,0.47892720306513414,0.15172849175223088,0.3103448275862069,0.7155172413793104,0.45937376139516445,0.6640625,0.65234375,1.0
"EEG Riemann, EOG regressed",MovingVideo,9,0.46455938697318,0.1359259190260381,0.1810344827586207,0.646551724137931,0.4377724930638129,0.84375,0.88671875,1.0
"EEG Riemann, EOG regressed",MovingTargetNoise,7,0.4741379310344827,0.08819545547829201,0.3879310344827586,0.6206896551724138,0.4367249872600646,0.765625,0.5625,1.0
"EEG Riemann, posterior channels",FixedVideo,9,0.48659003831417624,0.1147807769928233,0.3275862068965517,0.6637931034482759,0.5146650812524771,0.685546875,0.42578125,1.0
"EEG Riemann, posterior channels",NoVisuals,9,0.539272030651341,0.12456159081432899,0.2844827586206896,0.7068965517241379,0.563152331880037,0.150390625,0.42578125,1.0
"EEG Riemann, posterior channels",MovingVideo,9,0.5363984674329502,0.14823938114886365,0.2413793103448276,0.7068965517241379,0.5183643810278769,0.212890625,0.05859375,1.0
"EEG Riemann, posterior channels",MovingTargetNoise,7,0.4716748768472906,0.09160056245931465,0.3189655172413793,0.6120689655172413,0.44971972142007804,0.8046875,0.578125,1.0
"EEG Riemann, alpha band",FixedVideo,9,0.4597701149425287,0.0773463726074412,0.3017241379310345,0.5689655172413793,0.4393579072532699,0.93359375,0.12890625,1.0
"EEG Riemann, alpha band",NoVisuals,9,0.48563218390804597,0.02513341333985045,0.4568965517241379,0.5258620689655172,0.46895230545646716,0.9609375,0.984375,1.0
"EEG Riemann, alpha band",MovingVideo,9,0.49042145593869724,0.05676651225614486,0.396551724137931,0.5603448275862069,0.472849782005549,0.70703125,0.10546875,1.0
"EEG Riemann, alpha band",MovingTargetNoise,7,0.45935960591133007,0.08021014526075755,0.3103448275862069,0.5689655172413793,0.4458128078817734,0.8828125,0.40625,1.0
Gaze-controlled EEG Riemann,FixedVideo,9,0.4827586206896551,0.0620150628014576,0.3793103448275862,0.5689655172413793,0.4754921389879772,0.8125,0.17578125,1.0
Gaze-controlled EEG Riemann,NoVisuals,9,0.4846743295019157,0.07731967843145812,0.3534482758620689,0.603448275862069,0.4986127625842251,0.703125,0.984375,1.0
Gaze-controlled EEG Riemann,MovingVideo,9,0.5076628352490421,0.040075648508567104,0.4655172413793103,0.5862068965517241,0.5237151539172942,0.53125,0.0546875,1.0
Gaze-controlled EEG Riemann,MovingTargetNoise,7,0.5073891625615764,0.03241981916524185,0.4568965517241379,0.5431034482758621,0.4949889587226092,0.3359375,0.71875,1.0
Gaze-controlled CSP+LDA,FixedVideo,9,0.4549808429118774,0.06404565829891573,0.3620689655172414,0.5775862068965517,0.42264499933941074,0.94921875,0.1640625,1.0
Gaze-controlled CSP+LDA,NoVisuals,9,0.48659003831417613,0.0841468417491168,0.3362068965517241,0.6120689655172413,0.4663760073985995,0.6796875,0.640625,1.0
Gaze-controlled CSP+LDA,MovingVideo,9,0.4770114942528736,0.0489561064293127,0.4051724137931034,0.5344827586206896,0.473510371251156,0.828125,0.25,1.0
Gaze-controlled CSP+LDA,MovingTargetNoise,7,0.5024630541871921,0.05044252391821939,0.4482758620689655,0.5948275862068966,0.48564633939188034,0.640625,0.9375,1.0
