subject,model,analysis,condition,accuracy
01,eog_ts,leaky_random_cv,FixedVideo,0.8220338983050848
01,eog_ts,leaky_random_cv,MovingVideo,0.5423728813559322
01,eog_ts,leaky_random_cv,NoVisuals,0.5720338983050848
01,eog_ts,time_decoding_loto,FixedVideo,0.2542372881355932
01,eog_ts,time_decoding_loto,MovingVideo,0.5042372881355932
01,eog_ts,time_decoding_loto,NoVisuals,0.5296610169491526
01,eog_ts,side_decoding_loto,FixedVideo,0.6949152542372882
01,eog_ts,side_decoding_loto,MovingVideo,0.4915254237288136
01,eog_ts,side_decoding_loto,NoVisuals,0.5254237288135594
01,eeg_csp,leaky_random_cv,FixedVideo,0.4788135593220339
01,eeg_csp,leaky_random_cv,MovingVideo,0.6440677966101694
01,eeg_csp,leaky_random_cv,NoVisuals,0.8813559322033898
01,eeg_csp,time_decoding_loto,FixedVideo,0.6016949152542372
01,eeg_csp,time_decoding_loto,MovingVideo,0.6822033898305084
01,eeg_csp,time_decoding_loto,NoVisuals,0.5084745762711864
01,eeg_csp,side_decoding_loto,FixedVideo,0.3898305084745763
01,eeg_csp,side_decoding_loto,MovingVideo,0.5
01,eeg_csp,side_decoding_loto,NoVisuals,0.6610169491525424
01,eeg_ts,leaky_random_cv,FixedVideo,0.8135593220338984
01,eeg_ts,leaky_random_cv,MovingVideo,0.6694915254237288
01,eeg_ts,leaky_random_cv,NoVisuals,0.8432203389830508
01,eeg_ts,time_decoding_loto,FixedVideo,0.6440677966101694
01,eeg_ts,time_decoding_loto,MovingVideo,0.6652542372881356
01,eeg_ts,time_decoding_loto,NoVisuals,0.690677966101695
01,eeg_ts,side_decoding_loto,FixedVideo,0.461864406779661
01,eeg_ts,side_decoding_loto,MovingVideo,0.4745762711864407
01,eeg_ts,side_decoding_loto,NoVisuals,0.5889830508474576
01,gazectrl_ts,leaky_random_cv,FixedVideo,0.614406779661017
01,gazectrl_ts,leaky_random_cv,MovingVideo,0.5254237288135594
01,gazectrl_ts,leaky_random_cv,NoVisuals,0.6652542372881356
01,gazectrl_ts,time_decoding_loto,FixedVideo,0.6186440677966102
01,gazectrl_ts,time_decoding_loto,MovingVideo,0.5169491525423728
01,gazectrl_ts,time_decoding_loto,NoVisuals,0.5169491525423728
01,gazectrl_ts,side_decoding_loto,FixedVideo,0.5423728813559322
01,gazectrl_ts,side_decoding_loto,MovingVideo,0.4491525423728814
01,gazectrl_ts,side_decoding_loto,NoVisuals,0.5211864406779662
03,eog_ts,leaky_random_cv,FixedVideo,0.8389830508474576
03,eog_ts,leaky_random_cv,MovingVideo,0.5847457627118644
03,eog_ts,leaky_random_cv,NoVisuals,0.4957627118644068
03,eog_ts,time_decoding_loto,FixedVideo,0.3771186440677966
03,eog_ts,time_decoding_loto,MovingVideo,0.5932203389830508
03,eog_ts,time_decoding_loto,NoVisuals,0.614406779661017
03,eog_ts,side_decoding_loto,FixedVideo,0.8135593220338984
03,eog_ts,side_decoding_loto,MovingVideo,0.538135593220339
03,eog_ts,side_decoding_loto,NoVisuals,0.4661016949152542
03,eeg_csp,leaky_random_cv,FixedVideo,0.652542372881356
03,eeg_csp,leaky_random_cv,MovingVideo,0.614406779661017
03,eeg_csp,leaky_random_cv,NoVisuals,0.4661016949152542
03,eeg_csp,time_decoding_loto,FixedVideo,0.7161016949152542
03,eeg_csp,time_decoding_loto,MovingVideo,0.6059322033898306
03,eeg_csp,time_decoding_loto,NoVisuals,0.7796610169491526
03,eeg_csp,side_decoding_loto,FixedVideo,0.2966101694915254
03,eeg_csp,side_decoding_loto,MovingVideo,0.4576271186440678
03,eeg_csp,side_decoding_loto,NoVisuals,0.3771186440677966
03,eeg_ts,leaky_random_cv,FixedVideo,0.8220338983050848
03,eeg_ts,leaky_random_cv,MovingVideo,0.6228813559322034
03,eeg_ts,leaky_random_cv,NoVisuals,0.6059322033898306
03,eeg_ts,time_decoding_loto,FixedVideo,0.6567796610169492
03,eeg_ts,time_decoding_loto,MovingVideo,0.6949152542372882
03,eeg_ts,time_decoding_loto,NoVisuals,0.8177966101694916
03,eeg_ts,side_decoding_loto,FixedVideo,0.5
03,eeg_ts,side_decoding_loto,MovingVideo,0.4025423728813559
03,eeg_ts,side_decoding_loto,NoVisuals,0.3050847457627119
03,gazectrl_ts,leaky_random_cv,FixedVideo,0.6059322033898306
03,gazectrl_ts,leaky_random_cv,MovingVideo,0.559322033898305
03,gazectrl_ts,leaky_random_cv,NoVisuals,0.5127118644067796
03,gazectrl_ts,time_decoding_loto,FixedVideo,0.5508474576271186
03,gazectrl_ts,time_decoding_loto,MovingVideo,0.5508474576271186
03,gazectrl_ts,time_decoding_loto,NoVisuals,0.5932203389830508
03,gazectrl_ts,side_decoding_loto,FixedVideo,0.5211864406779662
03,gazectrl_ts,side_decoding_loto,MovingVideo,0.4661016949152542
03,gazectrl_ts,side_decoding_loto,NoVisuals,0.4025423728813559
04,eog_ts,leaky_random_cv,FixedVideo,0.8177966101694916
04,eog_ts,leaky_random_cv,MovingTargetNoise,0.6440677966101694
04,eog_ts,leaky_random_cv,MovingVideo,0.461864406779661
04,eog_ts,leaky_random_cv,NoVisuals,0.597457627118644
04,eog_ts,time_decoding_loto,FixedVideo,0.559322033898305
04,eog_ts,time_decoding_loto,MovingTargetNoise,0.5805084745762712
04,eog_ts,time_decoding_loto,MovingVideo,0.6313559322033898
04,eog_ts,time_decoding_loto,NoVisuals,0.5847457627118644
04,eog_ts,side_decoding_loto,FixedVideo,0.7372881355932204
04,eog_ts,side_decoding_loto,MovingTargetNoise,0.6313559322033898
04,eog_ts,side_decoding_loto,MovingVideo,0.4576271186440678
04,eog_ts,side_decoding_loto,NoVisuals,0.5466101694915254
04,eeg_csp,leaky_random_cv,FixedVideo,0.5423728813559322
04,eeg_csp,leaky_random_cv,MovingTargetNoise,0.5338983050847458
04,eeg_csp,leaky_random_cv,MovingVideo,0.5847457627118644
04,eeg_csp,leaky_random_cv,NoVisuals,0.6101694915254238
04,eeg_csp,time_decoding_loto,FixedVideo,0.5211864406779662
04,eeg_csp,time_decoding_loto,MovingTargetNoise,0.5720338983050848
04,eeg_csp,time_decoding_loto,MovingVideo,0.5211864406779662
04,eeg_csp,time_decoding_loto,NoVisuals,0.4703389830508475
04,eeg_csp,side_decoding_loto,FixedVideo,0.4576271186440678
04,eeg_csp,side_decoding_loto,MovingTargetNoise,0.4872881355932203
04,eeg_csp,side_decoding_loto,MovingVideo,0.4830508474576271
04,eeg_csp,side_decoding_loto,NoVisuals,0.6101694915254238
04,eeg_ts,leaky_random_cv,FixedVideo,0.7033898305084746
04,eeg_ts,leaky_random_cv,MovingTargetNoise,0.7288135593220338
