subject,model,train_condition,test_condition,window_s,n_windows,n_correct,accuracy,auc
01,eeg_alpha_ts,FixedVideo,FixedVideo,1,1192,465,0.3901006711409396,0.34961263006170895
01,eeg_alpha_ts,FixedVideo,FixedVideo,2,596,222,0.3724832214765101,0.32298094680419803
01,eeg_alpha_ts,FixedVideo,FixedVideo,5,236,74,0.3135593220338983,0.2483481758115484
01,eeg_alpha_ts,FixedVideo,FixedVideo,10,116,35,0.3017241379310345,0.1854934601664685
01,eeg_alpha_ts,FixedVideo,FixedVideo,30,36,9,0.25,0.12962962962962965
01,eeg_alpha_ts,FixedVideo,FixedVideo,60,16,4,0.25,0.09375
01,eeg_alpha_ts,FixedVideo,MovingVideo,1,1192,600,0.5033557046979866,0.5131863429575244
01,eeg_alpha_ts,FixedVideo,MovingVideo,2,596,311,0.5218120805369127,0.5393675960542318
01,eeg_alpha_ts,FixedVideo,MovingVideo,5,236,124,0.5254237288135594,0.5711720769893709
01,eeg_alpha_ts,FixedVideo,MovingVideo,10,116,63,0.5431034482758621,0.6019619500594531
01,eeg_alpha_ts,FixedVideo,MovingVideo,30,36,21,0.5833333333333334,0.7191358024691359
01,eeg_alpha_ts,FixedVideo,MovingVideo,60,16,9,0.5625,0.9375
01,eeg_alpha_ts,FixedVideo,NoVisuals,1,1192,592,0.4966442953020134,0.47987421737759567
01,eeg_alpha_ts,FixedVideo,NoVisuals,2,596,297,0.4983221476510067,0.4767915859645962
01,eeg_alpha_ts,FixedVideo,NoVisuals,5,236,114,0.4830508474576271,0.45540074691180693
01,eeg_alpha_ts,FixedVideo,NoVisuals,10,116,55,0.47413793103448276,0.4310344827586206
01,eeg_alpha_ts,FixedVideo,NoVisuals,30,36,16,0.4444444444444444,0.35802469135802467
01,eeg_alpha_ts,FixedVideo,NoVisuals,60,16,7,0.4375,0.3125
01,eeg_alpha_ts,MovingVideo,FixedVideo,1,1192,582,0.48825503355704697,0.5218711994955183
01,eeg_alpha_ts,MovingVideo,FixedVideo,2,596,300,0.5033557046979866,0.5289626593396695
01,eeg_alpha_ts,MovingVideo,FixedVideo,5,236,125,0.5296610169491526,0.5662884228669923
01,eeg_alpha_ts,MovingVideo,FixedVideo,10,116,61,0.5258620689655172,0.5653983353151011
01,eeg_alpha_ts,MovingVideo,FixedVideo,30,36,15,0.4166666666666667,0.5864197530864197
01,eeg_alpha_ts,MovingVideo,FixedVideo,60,16,6,0.375,0.609375
01,eeg_alpha_ts,MovingVideo,MovingVideo,1,1192,581,0.4874161073825503,0.47680847709562635
01,eeg_alpha_ts,MovingVideo,MovingVideo,2,596,301,0.5050335570469798,0.5047069951803972
01,eeg_alpha_ts,MovingVideo,MovingVideo,5,236,118,0.5,0.467825337546682
01,eeg_alpha_ts,MovingVideo,MovingVideo,10,116,60,0.5172413793103449,0.43638525564803804
01,eeg_alpha_ts,MovingVideo,MovingVideo,30,36,18,0.5,0.46296296296296297
01,eeg_alpha_ts,MovingVideo,MovingVideo,60,16,8,0.5,0.40625
01,eeg_alpha_ts,MovingVideo,NoVisuals,1,1192,566,0.4748322147651007,0.46971701725147513
01,eeg_alpha_ts,MovingVideo,NoVisuals,2,596,279,0.46812080536912754,0.48813116526282607
01,eeg_alpha_ts,MovingVideo,NoVisuals,5,236,107,0.4533898305084746,0.4759408216029877
01,eeg_alpha_ts,MovingVideo,NoVisuals,10,116,56,0.4827586206896552,0.48305588585017833
01,eeg_alpha_ts,MovingVideo,NoVisuals,30,36,15,0.4166666666666667,0.5
01,eeg_alpha_ts,MovingVideo,NoVisuals,60,16,7,0.4375,0.421875
01,eeg_alpha_ts,NoVisuals,FixedVideo,1,1192,623,0.5226510067114094,0.524866560064862
01,eeg_alpha_ts,NoVisuals,FixedVideo,2,596,320,0.5369127516778524,0.5181072924643034
01,eeg_alpha_ts,NoVisuals,FixedVideo,5,236,129,0.5466101694915254,0.4782390117782246
01,eeg_alpha_ts,NoVisuals,FixedVideo,10,116,66,0.5689655172413793,0.47770511296076096
01,eeg_alpha_ts,NoVisuals,FixedVideo,30,36,21,0.5833333333333334,0.49382716049382713
01,eeg_alpha_ts,NoVisuals,FixedVideo,60,16,11,0.6875,0.515625
01,eeg_alpha_ts,NoVisuals,MovingVideo,1,1192,589,0.4941275167785235,0.4898540606278996
01,eeg_alpha_ts,NoVisuals,MovingVideo,2,596,286,0.4798657718120805,0.4897414530876987
01,eeg_alpha_ts,NoVisuals,MovingVideo,5,236,113,0.4788135593220339,0.49030451019821886
01,eeg_alpha_ts,NoVisuals,MovingVideo,10,116,61,0.5258620689655172,0.5023781212841856
01,eeg_alpha_ts,NoVisuals,MovingVideo,30,36,19,0.5277777777777778,0.5246913580246914
01,eeg_alpha_ts,NoVisuals,MovingVideo,60,16,11,0.6875,0.609375
01,eeg_alpha_ts,NoVisuals,NoVisuals,1,1192,676,0.5671140939597316,0.596594747984325
01,eeg_alpha_ts,NoVisuals,NoVisuals,2,596,349,0.5855704697986577,0.6408945542993558
01,eeg_alpha_ts,NoVisuals,NoVisuals,5,236,146,0.6186440677966102,0.70496983625395
01,eeg_alpha_ts,NoVisuals,NoVisuals,10,116,75,0.646551724137931,0.7592152199762188
01,eeg_alpha_ts,NoVisuals,NoVisuals,30,36,27,0.75,0.9012345679012346
01,eeg_alpha_ts,NoVisuals,NoVisuals,60,16,10,0.625,1.0
01,eeg_csp,FixedVideo,FixedVideo,1,1192,550,0.46140939597315433,0.5197682536822665
01,eeg_csp,FixedVideo,FixedVideo,2,596,272,0.4563758389261745,0.5352011170667988
01,eeg_csp,FixedVideo,FixedVideo,5,236,86,0.3644067796610169,0.17839701235277217
01,eeg_csp,FixedVideo,FixedVideo,10,116,41,0.35344827586206895,0.15160523186682523
01,eeg_csp,FixedVideo,FixedVideo,30,36,12,0.3333333333333333,0.09876543209876543
01,eeg_csp,FixedVideo,FixedVideo,60,16,5,0.3125,0.0
01,eeg_csp,FixedVideo,MovingVideo,1,1192,580,0.4865771812080537,0.46957625782622403
01,eeg_csp,FixedVideo,MovingVideo,2,596,274,0.4597315436241611,0.4717692896716364
01,eeg_csp,FixedVideo,MovingVideo,5,236,106,0.4491525423728814,0.47608445848893993
01,eeg_csp,FixedVideo,MovingVideo,10,116,52,0.4482758620689655,0.4815695600475624
01,eeg_csp,FixedVideo,MovingVideo,30,36,16,0.4444444444444444,0.45987654320987653
01,eeg_csp,FixedVideo,MovingVideo,60,16,9,0.5625,0.5625
01,eeg_csp,FixedVideo,NoVisuals,1,1192,657,0.5511744966442953,0.551523580018918
01,eeg_csp,FixedVideo,NoVisuals,2,596,350,0.587248322147651,0.6157492905724967
01,eeg_csp,FixedVideo,NoVisuals,5,236,129,0.5466101694915254,0.5715311692042517
01,eeg_csp,FixedVideo,NoVisuals,10,116,66,0.5689655172413793,0.5888822829964329
01,eeg_csp,FixedVideo,NoVisuals,30,36,20,0.5555555555555556,0.6172839506172839
01,eeg_csp,FixedVideo,NoVisuals,60,16,10,0.625,0.703125
01,eeg_csp,MovingVideo,FixedVideo,1,1192,518,0.43456375838926176,0.43714247105986215
01,eeg_csp,MovingVideo,FixedVideo,2,596,263,0.4412751677852349,0.4183707941083735
01,eeg_csp,MovingVideo,FixedVideo,5,236,111,0.4703389830508475,0.44276070094800346
01,eeg_csp,MovingVideo,FixedVideo,10,116,54,0.46551724137931033,0.43252080856123665
01,eeg_csp,MovingVideo,FixedVideo,30,36,18,0.5,0.4444444444444444
01,eeg_csp,MovingVideo,FixedVideo,60,16,7,0.4375,0.453125
01,eeg_csp,MovingVideo,MovingVideo,1,1192,587,0.4924496644295302,0.4545178145128598
01,eeg_csp,MovingVideo,MovingVideo,2,596,292,0.4899328859060403,0.42124228638349626
01,eeg_csp,MovingVideo,MovingVideo,5,236,116,0.4915254237288136,0.39959781671933353
01,eeg_csp,MovingVideo,MovingVideo,10,116,57,0.49137931034482757,0.3929845422116528
01,eeg_csp,MovingVideo,MovingVideo,30,36,17,0.4722222222222222,0.35185185185185186
01,eeg_csp,MovingVideo,MovingVideo,60,16,9,0.5625,0.3125
01,eeg_csp,MovingVideo,NoVisuals,1,1192,588,0.49328859060402686,0.5570441646772668
01,eeg_csp,MovingVideo,NoVisuals,2,596,290,0.4865771812080537,0.5178370343678214
01,eeg_csp,MovingVideo,NoVisuals,5,236,111,0.4703389830508475,0.47163171502441825
01,eeg_csp,MovingVideo,NoVisuals,10,116,52,0.4482758620689655,0.4667063020214031
01,eeg_csp,MovingVideo,NoVisuals,30,36,15,0.4166666666666667,0.46913580246913583
01,eeg_csp,MovingVideo,NoVisuals,60,16,7,0.4375,0.484375
01,eeg_csp,NoVisuals,FixedVideo,1,1192,509,0.42701342281879195,0.5307671951713887
01,eeg_csp,NoVisuals,FixedVideo,2,596,249,0.41778523489932884,0.5655601099049592
01,eeg_csp,NoVisuals,FixedVideo,5,236,94,0.3983050847457627,0.5494110887675956
01,eeg_csp,NoVisuals,FixedVideo,10,116,47,0.4051724137931034,0.5425089179548157
01,eeg_csp,NoVisuals,FixedVideo,30,36,14,0.3888888888888889,0.5432098765432098
01,eeg_csp,NoVisuals,FixedVideo,60,16,6,0.375,0.5625
01,eeg_csp,NoVisuals,MovingVideo,1,1192,699,0.5864093959731543,0.6279897301923336
01,eeg_csp,NoVisuals,MovingVideo,2,596,357,0.5989932885906041,0.6422908877978469
01,eeg_csp,NoVisuals,MovingVideo,5,236,146,0.6186440677966102,0.664033323757541
01,eeg_csp,NoVisuals,MovingVideo,10,116,73,0.6293103448275862,0.6685493460166468
01,eeg_csp,NoVisuals,MovingVideo,30,36,24,0.6666666666666666,0.712962962962963
01,eeg_csp,NoVisuals,MovingVideo,60,16,11,0.6875,0.78125
01,eeg_csp,NoVisuals,NoVisuals,1,1192,797,0.6686241610738255,0.7485079500923382
01,eeg_csp,NoVisuals,NoVisuals,2,596,414,0.6946308724832215,0.77778028016756
01,eeg_csp,NoVisuals,NoVisuals,5,236,176,0.7457627118644068,0.8151393277793737
01,eeg_csp,NoVisuals,NoVisuals,10,116,87,0.75,0.8495838287752676
01,eeg_csp,NoVisuals,NoVisuals,30,36,28,0.7777777777777778,0.9135802469135802
01,eeg_csp,NoVisuals,NoVisuals,60,16,15,0.9375,1.0
01,eeg_eogreg_ts,FixedVideo,FixedVideo,1,1192,459,0.3850671140939597,0.27914846178100083
01,eeg_eogreg_ts,FixedVideo,FixedVideo,2,596,201,0.337248322147651,0.21478762217918113
01,eeg_eogreg_ts,FixedVideo,FixedVideo,5,236,77,0.326271186440678,0.1868715886239586
01,eeg_eogreg_ts,FixedVideo,FixedVideo,10,116,37,0.31896551724137934,0.1492271105826397
01,eeg_eogreg_ts,FixedVideo,FixedVideo,30,36,11,0.3055555555555556,0.055555555555555566
01,eeg_eogreg_ts,FixedVideo,FixedVideo,60,16,5,0.3125,0.03125
01,eeg_eogreg_ts,FixedVideo,MovingVideo,1,1192,466,0.39093959731543626,0.3668641052204855
01,eeg_eogreg_ts,FixedVideo,MovingVideo,2,596,252,0.4228187919463087,0.3877190216656907
01,eeg_eogreg_ts,FixedVideo,MovingVideo,5,236,106,0.4491525423728814,0.43442976156276936
01,eeg_eogreg_ts,FixedVideo,MovingVideo,10,116,49,0.4224137931034483,0.4215219976218787
01,eeg_eogreg_ts,FixedVideo,MovingVideo,30,36,16,0.4444444444444444,0.41666666666666663
01,eeg_eogreg_ts,FixedVideo,MovingVideo,60,16,8,0.5,0.515625
01,eeg_eogreg_ts,FixedVideo,NoVisuals,1,1192,609,0.5109060402684564,0.5302520156749696
01,eeg_eogreg_ts,FixedVideo,NoVisuals,2,596,309,0.5184563758389261,0.5177807305977208
01,eeg_eogreg_ts,FixedVideo,NoVisuals,5,236,128,0.5423728813559322,0.5111318586613043
01,eeg_eogreg_ts,FixedVideo,NoVisuals,10,116,60,0.5172413793103449,0.5136741973840666
01,eeg_eogreg_ts,FixedVideo,NoVisuals,30,36,19,0.5277777777777778,0.537037037037037
01,eeg_eogreg_ts,FixedVideo,NoVisuals,60,16,8,0.5,0.546875
01,eeg_eogreg_ts,MovingVideo,FixedVideo,1,1192,518,0.43456375838926176,0.4358221476510067
01,eeg_eogreg_ts,MovingVideo,FixedVideo,2,596,253,0.42449664429530204,0.46538444214224584
01,eeg_eogreg_ts,MovingVideo,FixedVideo,5,236,102,0.4322033898305085,0.5043809250215455
01,eeg_eogreg_ts,MovingVideo,FixedVideo,10,116,55,0.47413793103448276,0.5029726516052319
01,eeg_eogreg_ts,MovingVideo,FixedVideo,30,36,16,0.4444444444444444,0.4876543209876543
01,eeg_eogreg_ts,MovingVideo,FixedVideo,60,16,7,0.4375,0.5
01,eeg_eogreg_ts,MovingVideo,MovingVideo,1,1192,543,0.45553691275167785,0.41605107878023506
01,eeg_eogreg_ts,MovingVideo,MovingVideo,2,596,274,0.4597315436241611,0.33289041034187644
01,eeg_eogreg_ts,MovingVideo,MovingVideo,5,236,107,0.4533898305084746,0.2424590634875036
01,eeg_eogreg_ts,MovingVideo,MovingVideo,10,116,52,0.4482758620689655,0.20868014268727708
01,eeg_eogreg_ts,MovingVideo,MovingVideo,30,36,18,0.5,0.12962962962962965
01,eeg_eogreg_ts,MovingVideo,MovingVideo,60,16,8,0.5,0.0625
01,eeg_eogreg_ts,MovingVideo,NoVisuals,1,1192,560,0.4697986577181208,0.5140815729021215
01,eeg_eogreg_ts,MovingVideo,NoVisuals,2,596,295,0.4949664429530201,0.5354150713931805
01,eeg_eogreg_ts,MovingVideo,NoVisuals,5,236,115,0.4872881355932203,0.5280091927607009
01,eeg_eogreg_ts,MovingVideo,NoVisuals,10,116,56,0.4827586206896552,0.5383472057074911
01,eeg_eogreg_ts,MovingVideo,NoVisuals,30,36,17,0.4722222222222222,0.5030864197530864
01,eeg_eogreg_ts,MovingVideo,NoVisuals,60,16,6,0.375,0.4375
01,eeg_eogreg_ts,NoVisuals,FixedVideo,1,1192,601,0.5041946308724832,0.5307165217782983
01,eeg_eogreg_ts,NoVisuals,FixedVideo,2,596,279,0.46812080536912754,0.5164519616233503
01,eeg_eogreg_ts,NoVisuals,FixedVideo,5,236,104,0.4406779661016949,0.4810399310542947
01,eeg_eogreg_ts,NoVisuals,FixedVideo,10,116,50,0.43103448275862066,0.4833531510107016
01,eeg_eogreg_ts,NoVisuals,FixedVideo,30,36,16,0.4444444444444444,0.4691358024691358
01,eeg_eogreg_ts,NoVisuals,FixedVideo,60,16,6,0.375,0.390625
01,eeg_eogreg_ts,NoVisuals,MovingVideo,1,1192,688,0.5771812080536913,0.5930898382955723
01,eeg_eogreg_ts,NoVisuals,MovingVideo,2,596,348,0.5838926174496645,0.5996013693076888
01,eeg_eogreg_ts,NoVisuals,MovingVideo,5,236,140,0.5932203389830508,0.5672938810686584
01,eeg_eogreg_ts,NoVisuals,MovingVideo,10,116,71,0.6120689655172413,0.5713436385255648
01,eeg_eogreg_ts,NoVisuals,MovingVideo,30,36,24,0.6666666666666666,0.5802469135802469
01,eeg_eogreg_ts,NoVisuals,MovingVideo,60,16,11,0.6875,0.640625
01,eeg_eogreg_ts,NoVisuals,NoVisuals,1,1192,762,0.639261744966443,0.8313364262871041
01,eeg_eogreg_ts,NoVisuals,NoVisuals,2,596,361,0.6057046979865772,0.8229359037881178
01,eeg_eogreg_ts,NoVisuals,NoVisuals,5,236,149,0.6313559322033898,0.7759264579143924
01,eeg_eogreg_ts,NoVisuals,NoVisuals,10,116,71,0.6120689655172413,0.7984542211652794
01,eeg_eogreg_ts,NoVisuals,NoVisuals,30,36,22,0.6111111111111112,0.8950617283950617
01,eeg_eogreg_ts,NoVisuals,NoVisuals,60,16,9,0.5625,0.90625
01,eeg_post_ts,FixedVideo,FixedVideo,1,1192,521,0.43708053691275167,0.47431985045718666
01,eeg_post_ts,FixedVideo,FixedVideo,2,596,256,0.42953020134228187,0.46392054411963424
01,eeg_post_ts,FixedVideo,FixedVideo,5,236,98,0.4152542372881356,0.46739442688882504
01,eeg_post_ts,FixedVideo,FixedVideo,10,116,44,0.3793103448275862,0.450653983353151
01,eeg_post_ts,FixedVideo,FixedVideo,30,36,11,0.3055555555555556,0.48148148148148145
01,eeg_post_ts,FixedVideo,FixedVideo,60,16,5,0.3125,0.46875
01,eeg_post_ts,FixedVideo,MovingVideo,1,1192,632,0.5302013422818792,0.5308206837529842
01,eeg_post_ts,FixedVideo,MovingVideo,2,596,308,0.5167785234899329,0.5476892932750776
01,eeg_post_ts,FixedVideo,MovingVideo,5,236,127,0.538135593220339,0.5515656420568802
01,eeg_post_ts,FixedVideo,MovingVideo,10,116,69,0.5948275862068966,0.5454815695600475
01,eeg_post_ts,FixedVideo,MovingVideo,30,36,19,0.5277777777777778,0.5555555555555556
01,eeg_post_ts,FixedVideo,MovingVideo,60,16,10,0.625,0.65625
01,eeg_post_ts,FixedVideo,NoVisuals,1,1192,759,0.636744966442953,0.6836826043871898
01,eeg_post_ts,FixedVideo,NoVisuals,2,596,390,0.6543624161073825,0.709100941399036
01,eeg_post_ts,FixedVideo,NoVisuals,5,236,162,0.6864406779661016,0.7449008905486929
01,eeg_post_ts,FixedVideo,NoVisuals,10,116,89,0.7672413793103449,0.7910225921521997
