subject,model,test_condition,window_s,n_windows,n_correct,accuracy,auc
01,eeg_alpha_ts,FixedVideo,1,1192,574,0.4815436241610738,0.46983807035719116
01,eeg_alpha_ts,FixedVideo,2,596,276,0.46308724832214765,0.4645061033286789
01,eeg_alpha_ts,FixedVideo,5,236,114,0.4830508474576271,0.47055443837977595
01,eeg_alpha_ts,FixedVideo,10,116,53,0.45689655172413796,0.44589774078478006
01,eeg_alpha_ts,FixedVideo,30,36,12,0.3333333333333333,0.45679012345679015
01,eeg_alpha_ts,FixedVideo,60,16,6,0.375,0.53125
01,eeg_alpha_ts,MovingVideo,1,1192,568,0.47651006711409394,0.4597709562632314
01,eeg_alpha_ts,MovingVideo,2,596,300,0.5033557046979866,0.47993333633620106
01,eeg_alpha_ts,MovingVideo,5,236,119,0.5042372881355932,0.5060327492099972
01,eeg_alpha_ts,MovingVideo,10,116,62,0.5344827586206896,0.4892984542211653
01,eeg_alpha_ts,MovingVideo,30,36,20,0.5555555555555556,0.5493827160493827
01,eeg_alpha_ts,MovingVideo,60,16,10,0.625,0.65625
01,eeg_alpha_ts,NoVisuals,1,1192,609,0.5109060402684564,0.499498896446106
01,eeg_alpha_ts,NoVisuals,2,596,305,0.511744966442953,0.5131525606954641
01,eeg_alpha_ts,NoVisuals,5,236,120,0.5084745762711864,0.513358230393565
01,eeg_alpha_ts,NoVisuals,10,116,61,0.5258620689655172,0.539833531510107
01,eeg_alpha_ts,NoVisuals,30,36,18,0.5,0.5432098765432098
01,eeg_alpha_ts,NoVisuals,60,16,9,0.5625,0.4375
01,eeg_csp,FixedVideo,1,1192,486,0.4077181208053691,0.6674586730327463
01,eeg_csp,FixedVideo,2,596,243,0.4077181208053691,0.6893833611098599
01,eeg_csp,FixedVideo,5,236,92,0.3898305084745763,0.709135305946567
01,eeg_csp,FixedVideo,10,116,46,0.39655172413793105,0.7009512485136742
01,eeg_csp,FixedVideo,30,36,14,0.3888888888888889,0.6666666666666667
01,eeg_csp,FixedVideo,60,16,6,0.375,0.625
01,eeg_csp,MovingVideo,1,1192,632,0.5302013422818792,0.5226791585964596
01,eeg_csp,MovingVideo,2,596,314,0.5268456375838926,0.5324985361019774
01,eeg_csp,MovingVideo,5,236,118,0.5,0.5158000574547543
01,eeg_csp,MovingVideo,10,116,59,0.5086206896551724,0.5374554102259215
01,eeg_csp,MovingVideo,30,36,20,0.5555555555555556,0.5925925925925926
01,eeg_csp,MovingVideo,60,16,9,0.5625,0.6875
01,eeg_csp,NoVisuals,1,1192,871,0.7307046979865772,0.8500855817305526
01,eeg_csp,NoVisuals,2,596,410,0.6879194630872483,0.8537453267870818
01,eeg_csp,NoVisuals,5,236,156,0.6610169491525424,0.8853777650100546
01,eeg_csp,NoVisuals,10,116,80,0.6896551724137931,0.9316290130796672
01,eeg_csp,NoVisuals,30,36,25,0.6944444444444444,0.9938271604938271
01,eeg_csp,NoVisuals,60,16,12,0.75,1.0
01,eeg_eogreg_ts,FixedVideo,1,1192,509,0.42701342281879195,0.45231070672492224
01,eeg_eogreg_ts,FixedVideo,2,596,257,0.4312080536912752,0.45660105400657625
01,eeg_eogreg_ts,FixedVideo,5,236,100,0.423728813559322,0.46279804653835105
01,eeg_eogreg_ts,FixedVideo,10,116,46,0.39655172413793105,0.4637336504161712
01,eeg_eogreg_ts,FixedVideo,30,36,13,0.3611111111111111,0.43209876543209874
01,eeg_eogreg_ts,FixedVideo,60,16,6,0.375,0.34375
01,eeg_eogreg_ts,MovingVideo,1,1192,522,0.43791946308724833,0.4267769469843701
01,eeg_eogreg_ts,MovingVideo,2,596,273,0.45805369127516776,0.4345074546191613
01,eeg_eogreg_ts,MovingVideo,5,236,112,0.4745762711864407,0.43636885952312554
01,eeg_eogreg_ts,MovingVideo,10,116,55,0.47413793103448276,0.41141498216409034
01,eeg_eogreg_ts,MovingVideo,30,36,17,0.4722222222222222,0.4320987654320988
01,eeg_eogreg_ts,MovingVideo,60,16,8,0.5,0.53125
01,eeg_eogreg_ts,NoVisuals,1,1192,707,0.5931208053691275,0.6254335390297735
01,eeg_eogreg_ts,NoVisuals,2,596,350,0.587248322147651,0.6228773478672132
01,eeg_eogreg_ts,NoVisuals,5,236,132,0.559322033898305,0.5958058029301925
01,eeg_eogreg_ts,NoVisuals,10,116,68,0.5862068965517241,0.6266349583828776
01,eeg_eogreg_ts,NoVisuals,30,36,22,0.6111111111111112,0.6358024691358024
01,eeg_eogreg_ts,NoVisuals,60,16,10,0.625,0.5625
01,eeg_post_ts,FixedVideo,1,1192,680,0.5704697986577181,0.6673629566235755
01,eeg_post_ts,FixedVideo,2,596,337,0.5654362416107382,0.6844061078329805
01,eeg_post_ts,FixedVideo,5,236,137,0.5805084745762712,0.7038207411663315
01,eeg_post_ts,FixedVideo,10,116,69,0.5948275862068966,0.7568370986920333
01,eeg_post_ts,FixedVideo,30,36,21,0.5833333333333334,0.8209876543209877
01,eeg_post_ts,FixedVideo,60,16,10,0.625,0.84375
01,eeg_post_ts,MovingVideo,1,1192,636,0.5335570469798657,0.545200666636638
01,eeg_post_ts,MovingVideo,2,596,330,0.5536912751677853,0.5608305932165218
