subject,model,test_trial,test_condition,window_s,n_windows,n_correct,accuracy,auc
01,eog_ts,0,MovingVideo,1,596,312,0.5234899328859061,0.5320368451871538
01,eog_ts,0,MovingVideo,2,298,167,0.5604026845637584,0.5539840547723075
01,eog_ts,0,MovingVideo,5,118,64,0.5423728813559322,0.6173513358230394
01,eog_ts,0,MovingVideo,10,58,34,0.5862068965517241,0.6278240190249703
01,eog_ts,0,MovingVideo,30,18,11,0.6111111111111112,0.6790123456790124
01,eog_ts,0,MovingVideo,60,8,5,0.625,0.8125
01,eog_ts,1,NoVisuals,1,596,258,0.43288590604026844,0.4219404531327418
01,eog_ts,1,NoVisuals,2,298,140,0.4697986577181208,0.4355209224809693
01,eog_ts,1,NoVisuals,5,118,60,0.5084745762711864,0.5073254811835679
01,eog_ts,1,NoVisuals,10,58,29,0.5,0.5208085612366231
01,eog_ts,1,NoVisuals,30,18,9,0.5,0.6049382716049383
01,eog_ts,1,NoVisuals,60,8,4,0.5,0.6875
01,eog_ts,2,FixedVideo,1,596,413,0.6929530201342282,0.797092473312013
01,eog_ts,2,FixedVideo,2,298,213,0.714765100671141,0.853925498851403
01,eog_ts,2,FixedVideo,5,118,83,0.7033898305084746,0.8302212008043666
01,eog_ts,2,FixedVideo,10,58,48,0.8275862068965517,0.906064209274673
01,eog_ts,2,FixedVideo,30,18,17,0.9444444444444444,0.9876543209876543
01,eog_ts,2,FixedVideo,60,8,7,0.875,1.0
01,eog_ts,3,MovingVideo,1,596,264,0.4429530201342282,0.44577946939327057
01,eog_ts,3,MovingVideo,2,298,131,0.4395973154362416,0.43115174992117467
01,eog_ts,3,MovingVideo,5,118,52,0.4406779661016949,0.45705257110025854
01,eog_ts,3,MovingVideo,10,58,29,0.5,0.4684898929845422
01,eog_ts,3,MovingVideo,30,18,7,0.3888888888888889,0.4320987654320988
01,eog_ts,3,MovingVideo,60,8,5,0.625,0.4375
01,eog_ts,4,NoVisuals,1,596,297,0.4983221476510067,0.5326224043961983
01,eog_ts,4,NoVisuals,2,298,150,0.5033557046979866,0.5142561145894329
01,eog_ts,4,NoVisuals,5,118,64,0.5423728813559322,0.5518529158287848
01,eog_ts,4,NoVisuals,10,58,31,0.5344827586206896,0.535077288941736
01,eog_ts,4,NoVisuals,30,18,9,0.5,0.5061728395061729
01,eog_ts,4,NoVisuals,60,8,3,0.375,0.5
01,eog_ts,5,FixedVideo,1,596,390,0.6543624161073825,0.7351132831854421
01,eog_ts,5,FixedVideo,2,298,209,0.7013422818791947,0.8059096437097428
01,eog_ts,5,FixedVideo,5,118,81,0.6864406779661016,0.8310830221200803
01,eog_ts,5,FixedVideo,10,58,40,0.6896551724137931,0.8608799048751486
01,eog_ts,5,FixedVideo,30,18,12,0.6666666666666666,1.0
01,eog_ts,5,FixedVideo,60,8,5,0.625,1.0
01,eeg_csp,0,MovingVideo,1,596,397,0.6661073825503355,0.686365479032476
01,eeg_csp,0,MovingVideo,2,298,208,0.697986577181208,0.7333453448042881
01,eeg_csp,0,MovingVideo,5,118,79,0.6694915254237288,0.7604136742315426
01,eeg_csp,0,MovingVideo,10,58,41,0.7068965517241379,0.797859690844233
01,eeg_csp,0,MovingVideo,30,18,13,0.7222222222222222,0.8888888888888888
01,eeg_csp,0,MovingVideo,60,8,7,0.875,1.0
01,eeg_csp,1,NoVisuals,1,596,431,0.7231543624161074,0.8820098193775054
01,eeg_csp,1,NoVisuals,2,298,194,0.6510067114093959,0.874104770055403
01,eeg_csp,1,NoVisuals,5,118,81,0.6864406779661016,0.8991669060614766
01,eeg_csp,1,NoVisuals,10,58,43,0.7413793103448276,0.9274673008323425
01,eeg_csp,1,NoVisuals,30,18,14,0.7777777777777778,1.0
01,eeg_csp,1,NoVisuals,60,8,7,0.875,1.0
01,eeg_csp,2,FixedVideo,1,596,182,0.3053691275167785,0.4142043151209405
01,eeg_csp,2,FixedVideo,2,298,91,0.3053691275167785,0.4343047610467997
01,eeg_csp,2,FixedVideo,5,118,33,0.2796610169491525,0.4386670496983625
01,eeg_csp,2,FixedVideo,10,58,17,0.29310344827586204,0.4066587395957194
01,eeg_csp,2,FixedVideo,30,18,5,0.2777777777777778,0.33333333333333337
01,eeg_csp,2,FixedVideo,60,8,2,0.25,0.25
01,eeg_csp,3,MovingVideo,1,596,235,0.39429530201342283,0.35899283816044325
01,eeg_csp,3,MovingVideo,2,298,106,0.35570469798657717,0.33165172739966664
01,eeg_csp,3,MovingVideo,5,118,39,0.3305084745762712,0.27118644067796605
01,eeg_csp,3,MovingVideo,10,58,18,0.3103448275862069,0.27705112960761
01,eeg_csp,3,MovingVideo,30,18,7,0.3888888888888889,0.2962962962962963
01,eeg_csp,3,MovingVideo,60,8,2,0.25,0.375
01,eeg_csp,4,NoVisuals,1,596,440,0.738255033557047,0.8181613440835999
01,eeg_csp,4,NoVisuals,2,298,216,0.7248322147651006,0.8333858835187605
01,eeg_csp,4,NoVisuals,5,118,75,0.635593220338983,0.8715886239586326
01,eeg_csp,4,NoVisuals,10,58,37,0.6379310344827587,0.9357907253269917
01,eeg_csp,4,NoVisuals,30,18,11,0.6111111111111112,0.9876543209876543
01,eeg_csp,4,NoVisuals,60,8,5,0.625,1.0
01,eeg_csp,5,FixedVideo,1,596,304,0.5100671140939598,0.9207130309445521
01,eeg_csp,5,FixedVideo,2,298,152,0.5100671140939598,0.9444619611729201
01,eeg_csp,5,FixedVideo,5,118,59,0.5,0.9796035621947716
01,eeg_csp,5,FixedVideo,10,58,29,0.5,0.995243757431629
01,eeg_csp,5,FixedVideo,30,18,9,0.5,1.0
01,eeg_csp,5,FixedVideo,60,8,4,0.5,1.0
01,eeg_ts,0,MovingVideo,1,596,333,0.5587248322147651,0.5822260258546912
01,eeg_ts,0,MovingVideo,2,298,156,0.5234899328859061,0.5880365749290573
01,eeg_ts,0,MovingVideo,5,118,68,0.576271186440678,0.599253088193048
01,eeg_ts,0,MovingVideo,10,58,33,0.5689655172413793,0.6135552913198573
01,eeg_ts,0,MovingVideo,30,18,10,0.5555555555555556,0.654320987654321
01,eeg_ts,0,MovingVideo,60,8,4,0.5,0.75
01,eeg_ts,1,NoVisuals,1,596,399,0.6694630872483222,0.7294491239133372
01,eeg_ts,1,NoVisuals,2,298,207,0.6946308724832215,0.7765415972253502
01,eeg_ts,1,NoVisuals,5,118,82,0.6949152542372882,0.7813846595805803
01,eeg_ts,1,NoVisuals,10,58,46,0.7931034482758621,0.8656361474435197
01,eeg_ts,1,NoVisuals,30,18,17,0.9444444444444444,0.9382716049382716
01,eeg_ts,1,NoVisuals,60,8,7,0.875,1.0
01,eeg_ts,2,FixedVideo,1,596,235,0.39429530201342283,0.40459889194180443
01,eeg_ts,2,FixedVideo,2,298,127,0.4261744966442953,0.4107022206206928
01,eeg_ts,2,FixedVideo,5,118,48,0.4067796610169492,0.44987072680264295
01,eeg_ts,2,FixedVideo,10,58,25,0.43103448275862066,0.4518430439952438
01,eeg_ts,2,FixedVideo,30,18,6,0.3333333333333333,0.43209876543209874
01,eeg_ts,2,FixedVideo,60,8,3,0.375,0.375
01,eeg_ts,3,MovingVideo,1,596,225,0.3775167785234899,0.3450970676996532
01,eeg_ts,3,MovingVideo,2,298,116,0.38926174496644295,0.3452997612720148
01,eeg_ts,3,MovingVideo,5,118,44,0.3728813559322034,0.33438667049698356
01,eeg_ts,3,MovingVideo,10,58,21,0.3620689655172414,0.30439952437574314
01,eeg_ts,3,MovingVideo,30,18,5,0.2777777777777778,0.1851851851851852
01,eeg_ts,3,MovingVideo,60,8,3,0.375,0.1875
01,eeg_ts,4,NoVisuals,1,596,283,0.4748322147651007,0.47447187063645785
01,eeg_ts,4,NoVisuals,2,298,141,0.47315436241610737,0.4565560109904959
01,eeg_ts,4,NoVisuals,5,118,57,0.4830508474576271,0.4142487790864694
01,eeg_ts,4,NoVisuals,10,58,27,0.46551724137931033,0.40071343638525564
01,eeg_ts,4,NoVisuals,30,18,7,0.3888888888888889,0.37037037037037035
01,eeg_ts,4,NoVisuals,60,8,3,0.375,0.3125
01,eeg_ts,5,FixedVideo,1,596,290,0.4865771812080537,0.5764943020584659
01,eeg_ts,5,FixedVideo,2,298,149,0.5,0.6644745732174225
01,eeg_ts,5,FixedVideo,5,118,61,0.5169491525423728,0.8046538351048549
01,eeg_ts,5,FixedVideo,10,58,29,0.5,0.8394768133174793
01,eeg_ts,5,FixedVideo,30,18,9,0.5,0.9012345679012346
01,eeg_ts,5,FixedVideo,60,8,4,0.5,1.0
01,eeg_eogreg_ts,0,MovingVideo,1,596,311,0.5218120805369127,0.5410679699112653
01,eeg_eogreg_ts,0,MovingVideo,2,298,164,0.5503355704697986,0.5490293230034683
01,eeg_eogreg_ts,0,MovingVideo,5,118,65,0.5508474576271186,0.5429474288997415
01,eeg_eogreg_ts,0,MovingVideo,10,58,35,0.603448275862069,0.530321046373365
01,eeg_eogreg_ts,0,MovingVideo,30,18,11,0.6111111111111112,0.6049382716049383
01,eeg_eogreg_ts,0,MovingVideo,60,8,4,0.5,0.75
01,eeg_eogreg_ts,1,NoVisuals,1,596,428,0.7181208053691275,0.8156389351830999
01,eeg_eogreg_ts,1,NoVisuals,2,298,224,0.7516778523489933,0.8336110985991622
01,eeg_eogreg_ts,1,NoVisuals,5,118,87,0.7372881355932204,0.8549267451881644
