subject,trial,condition,eog_regression,window_s,n_windows,n_correct,ridge_alpha
01,0,MovingVideo,False,1,599,361,0.01
01,0,MovingVideo,False,2,299,194,0.01
01,0,MovingVideo,False,5,119,86,0.01
01,0,MovingVideo,False,10,59,49,0.01
01,0,MovingVideo,False,30,19,18,0.01
01,0,MovingVideo,False,60,9,9,0.01
01,1,NoVisuals,False,1,599,324,0.01
01,1,NoVisuals,False,2,299,169,0.01
01,1,NoVisuals,False,5,119,66,0.01
01,1,NoVisuals,False,10,59,36,0.01
01,1,NoVisuals,False,30,19,12,0.01
01,1,NoVisuals,False,60,9,6,0.01
01,2,FixedVideo,False,1,599,317,0.01
01,2,FixedVideo,False,2,299,170,0.01
01,2,FixedVideo,False,5,119,64,0.01
01,2,FixedVideo,False,10,59,33,0.01
01,2,FixedVideo,False,30,19,9,0.01
01,2,FixedVideo,False,60,9,6,0.01
01,3,MovingVideo,False,1,599,307,0.01
01,3,MovingVideo,False,2,299,158,0.01
01,3,MovingVideo,False,5,119,68,0.01
01,3,MovingVideo,False,10,59,37,0.01
01,3,MovingVideo,False,30,19,12,0.01
01,3,MovingVideo,False,60,9,6,0.01
01,4,NoVisuals,False,1,599,300,0.01
01,4,NoVisuals,False,2,299,159,0.01
01,4,NoVisuals,False,5,119,64,0.01
01,4,NoVisuals,False,10,59,27,0.01
01,4,NoVisuals,False,30,19,9,0.01
01,4,NoVisuals,False,60,9,4,0.01
01,5,FixedVideo,False,1,599,323,0.01
01,5,FixedVideo,False,2,299,166,0.01
01,5,FixedVideo,False,5,119,64,0.01
01,5,FixedVideo,False,10,59,37,0.01
01,5,FixedVideo,False,30,19,14,0.01
01,5,FixedVideo,False,60,9,6,0.01
01,0,MovingVideo,True,1,599,351,0.1
01,0,MovingVideo,True,2,299,189,0.1
01,0,MovingVideo,True,5,119,80,0.1
01,0,MovingVideo,True,10,59,45,0.1
01,0,MovingVideo,True,30,19,16,0.1
01,0,MovingVideo,True,60,9,8,0.1
01,1,NoVisuals,True,1,599,331,0.1
01,1,NoVisuals,True,2,299,163,0.1
01,1,NoVisuals,True,5,119,73,0.1
01,1,NoVisuals,True,10,59,39,0.1
01,1,NoVisuals,True,30,19,14,0.1
01,1,NoVisuals,True,60,9,8,0.1
01,2,FixedVideo,True,1,599,315,0.1
01,2,FixedVideo,True,2,299,171,0.1
01,2,FixedVideo,True,5,119,60,0.1
01,2,FixedVideo,True,10,59,35,0.1
01,2,FixedVideo,True,30,19,9,0.1
01,2,FixedVideo,True,60,9,8,0.1
01,3,MovingVideo,True,1,599,316,0.1
01,3,MovingVideo,True,2,299,172,0.1
01,3,MovingVideo,True,5,119,70,0.1
01,3,MovingVideo,True,10,59,35,0.1
01,3,MovingVideo,True,30,19,14,0.1
01,3,MovingVideo,True,60,9,6,0.1
01,4,NoVisuals,True,1,599,305,0.1
01,4,NoVisuals,True,2,299,165,0.1
